timestamp	symbol	price
1747356607	AAPL	971.38
1749793912	AAPL	333.90
1750451070	AAPL	355.17
1748978628	MSFT	57.1
1750108242	MSFT	773.58
1749974006	AAPL	671.81
1749244240	MSFT	814.21
1749198770	AAPL	190.65
1746453895	AAPL	891.34
1751051588	MSFT	579.98
1749104172	MSFT	391.60
1746894821	MSFT	197.5
1747486973	MSFT	394.43
1749583386	AAPL	603.83
1746145294	AAPL	587.8
1747769613	MSFT	103.1
1747276088	AAPL	141.64
1750098127	MSFT	982.53
1749475801	AAPL	527.27
1751323113	AAPL	480.79
1749662625	AAPL	833.99
1748624739	MSFT	389.30
1748352660	MSFT	395.100
1750608130	MSFT	843.25
1750209459	MSFT	757.39
1746608035	MSFT	351.64
1750781468	MSFT	430.76
1746499969	MSFT	377.74
1746806594	MSFT	976.89
1748872586	MSFT	701.59
1747585355	AAPL	183.16
1749810118	AAPL	367.2
1750020164	AAPL	371.2
1751277729	AAPL	59.28
1746378861	MSFT	541.42
1749524588	AAPL	923.62
1748730003	AAPL	568.69
1750122320	AAPL	754.71
1749251843	AAPL	184.89
1748576881	MSFT	405.14
1749262513	AAPL	57.57
1748970912	AAPL	634.39
1746964261	AAPL	641.52
1750829766	AAPL	55.33
1748545241	MSFT	290.99
1748866898	MSFT	71.14
1750737767	AAPL	374.79
1749246066	MSFT	96.95
1750826019	AAPL	696.84
1746859204	MSFT	887.66
1749922001	AAPL	703.77
1747156708	AAPL	826.81
1750699686	MSFT	226.25
1748309337	AAPL	275.53
1748498233	MSFT	806.90
1750489307	AAPL	414.29
1749570297	MSFT	755.63
1747507026	MSFT	52.67
1748207567	AAPL	388.58
1748757793	MSFT	740.74
1750931124	AAPL	325.48
1748717888	AAPL	130.5
1747056433	MSFT	338.47
1746468543	MSFT	380.20
1748706653	AAPL	251.71
1748964813	MSFT	933.70
1748211760	AAPL	109.67
1749970806	AAPL	896.51
1750637185	MSFT	477.38
1750585107	MSFT	861.18
1750769733	MSFT	511.72
1748286395	MSFT	775.37
1749833170	MSFT	481.71
1746567878	AAPL	162.37
1747801687	MSFT	611.43
1747997493	MSFT	859.23
1747304306	MSFT	586.54
1750123739	AAPL	582.26
1746800043	MSFT	930.5
1746563566	MSFT	320.71
1748643667	MSFT	310.43
1750964726	AAPL	66.13
1748894946	AAPL	573.86
1747850414	AAPL	332.6
1747208871	AAPL	117.64
1749606960	AAPL	267.3
1750760123	AAPL	507.52
1751219855	MSFT	307.43
1746739400	AAPL	527.16
1748686753	AAPL	736.3
1750649322	AAPL	961.61
1750829961	AAPL	684.90
1748292305	AAPL	634.100
1747401199	AAPL	191.69
1747865092	MSFT	927.88
1746560546	MSFT	460.94
1750976125	AAPL	633.54
1749119613	MSFT	705.40
1747400931	AAPL	958.31
1748223148	MSFT	632.59
